locatie omschrijving,date,BADGT_n,CHLFa_ug/l_blauwalg,E_COLI_nKVE/dl,INTTNLETRCCN_nKVE/dl,O2_%,O2_mg/l,T_oC,ZICHT_m,FG,TG,SQ,DR,RH,PG,UG,EV24
"Gaasperplas,speelvijver Noord",2016-05-30,0.0,,80.0,15.0,,,16.6,1.0,6.6,16.1,2.1,2.5,16.9,1006.4,90,2.1
"Gaasperplas,speelvijver Noord",2016-06-13,0.0,,540.0,250.0,,,20.1,1.0,4.2,15.6,1.2,2.8,3.2,1000.6,89,1.6
"Gaasperplas,speelvijver Noord",2016-06-27,0.0,,50.0,20.0,,,18.2,0.3,4.7,15.5,5.3,2.0,3.8,1017.0,83,2.3
"Gaasperplas,speelvijver Noord",2016-07-11,0.0,,210.0,50.0,,,19.0,1.0,9.3,18.5,6.8,0.0,0.0,1008.4,71,3.1
"Gaasperplas,speelvijver Noord",2016-07-25,0.0,,450.0,30.0,,,22.6,0.5,4.1,18.5,4.3,0.0,-0.1,1018.9,82,2.2
"Gaasperplas,speelvijver Noord",2016-08-08,0.0,,60.0,15.0,,,18.6,1.0,6.5,17.3,5.7,0.0,-0.1,1019.2,73,2.9
"Gaasperplas,speelvijver Noord",2016-08-22,0.0,,440.0,50.0,,,18.0,0.3,6.0,18.3,4.4,4.0,6.2,1022.9,86,1.8
"Gaasperplas,speelvijver Noord",2016-09-05,0.0,,370.0,130.0,,,19.0,1.0,3.3,17.5,10.2,0.6,0.8,1019.7,81,2.8
"Gaasperplas,speelvijver Noord",2016-09-19,0.0,,3300.0,30.0,,,17.7,1.0,1.1,16.1,1.2,0.0,0.0,1020.2,78,1.2
"Gaasperplas,speelvijver Noord",2016-09-21,0.0,,270.0,60.0,,,17.9,1.0,2.8,15.9,6.0,0.0,0.0,1019.8,68,2.0
"Gaasperplas,speelvijver Noord",2017-04-24,0.0,,140.0,20.0,,,9.6,0.4,6.2,9.2,1.9,2.6,2.2,1012.7,80,1.3
"Gaasperplas,speelvijver Noord",2017-05-15,0.0,,90.0,15.0,,,13.9,1.0,3.7,14.9,8.7,2.1,0.3,1027.4,73,3.5
"Gaasperplas,speelvijver Noord",2017-05-29,0.0,,330.0,50.0,,,21.0,1.0,3.8,20.7,10.1,0.7,7.0,1012.3,75,4.4
"Gaasperplas,speelvijver Noord",2017-06-12,0.0,,230.0,15.0,,,17.0,1.0,8.0,16.3,4.0,0.0,0.0,1015.6,71,2.7
"Gaasperplas,speelvijver Noord",2017-06-26,0.0,,130.0,30.0,,,19.0,1.0,3.8,16.1,11.5,0.0,0.0,1013.6,68,4.4
"Gaasperplas,speelvijver Noord",2017-07-10,0.0,,370.0,20.0,,,19.5,1.0,3.4,19.2,2.9,0.3,0.1,1008.4,73,2.9
"Gaasperplas,speelvijver Noord",2017-07-24,0.0,,160.0,15.0,,,19.5,1.0,3.1,15.6,3.5,2.8,5.1,1009.9,84,2.0
"Gaasperplas,speelvijver Noord",2017-08-07,0.0,,90.0,20.0,,,18.7,1.0,3.3,16.5,11.5,0.0,0.0,1018.1,76,3.6
"Gaasperplas,speelvijver Noord",2017-08-21,0.0,,90.0,20.0,,,18.6,1.0,2.0,16.4,4.4,0.8,0.6,1022.7,81,2.1
"Gaasperplas,speelvijver Noord",2017-09-04,0.0,,20.0,20.0,,,16.6,1.0,3.6,17.0,5.5,0.0,-0.1,1014.9,75,2.6
"Gaasperplas,speelvijver Noord",2017-09-18,0.0,,510.0,30.0,,,13.8,0.3,3.0,12.2,4.8,0.4,0.1,1012.8,87,1.7
"Gaasperplas,speelvijver Noord",2018-04-16,0.0,,5000.0,200.0,,,14.4,0.1,4.8,11.0,11.3,0.0,-0.1,1016.0,76,3.2
"Gaasperplas,speelvijver Noord",2018-04-18,0.0,,210.0,20.0,,,20.6,1.0,2.8,16.8,13.0,0.0,0.0,1029.5,63,3.8
"Gaasperplas,speelvijver Noord",2018-05-14,0.0,,20.0,15.0,,,18.3,1.0,4.5,18.2,10.9,0.0,0.0,1014.0,74,4.3
"Gaasperplas,speelvijver Noord",2018-05-28,0.0,,380.0,140.0,,,23.1,1.0,3.3,23.2,13.3,0.0,0.0,1017.6,64,5.1
"Gaasperplas,speelvijver Noord",2018-06-11,0.0,1.3,310.0,110.0,,,22.0,1.0,4.8,17.1,13.0,0.0,0.0,1013.8,74,4.7
"Gaasperplas,speelvijver Noord",2018-06-25,0.0,,220.0,15.0,,,16.7,1.0,4.0,15.9,9.4,0.0,0.0,1025.6,80,4.0
"Gaasperplas,speelvijver Noord",2018-07-09,0.0,,760.0,140.0,,,20.7,1.0,4.1,17.2,2.7,0.0,-0.1,1023.9,77,2.4
"Gaasperplas,speelvijver Noord",2018-07-23,0.0,,1900.0,250.0,,,23.0,0.3,1.9,22.6,14.9,0.0,0.0,1016.7,66,5.2
"Gaasperplas,speelvijver Noord",2018-07-25,10.0,,410.0,90.0,,,24.8,1.0,2.7,24.6,8.5,0.0,0.0,1016.2,63,3.4
"Gaasperplas,speelvijver Noord",2018-08-06,0.0,,230.0,15.0,,,22.4,1.0,2.5,23.2,13.9,0.0,0.0,1015.4,59,4.8
"Gaasperplas,speelvijver Noord",2018-08-09,,0.9,,,,,,,4.3,17.6,1.8,4.0,7.5,1010.7,81,1.2
"Gaasperplas,speelvijver Noord",2018-08-20,0.0,,160.0,30.0,,,20.0,1.0,3.3,19.6,7.0,0.0,0.0,1019.6,81,2.9
"Gaasperplas,speelvijver Noord",2018-09-03,0.0,,180.0,40.0,,,17.5,1.0,3.5,18.7,4.4,0.0,0.0,1019.0,84,2.0
"Gaasperplas,speelvijver Noord",2018-09-17,0.0,,450.0,20.0,,,15.5,0.3,3.8,17.0,8.2,0.0,0.0,1016.4,73,2.5
"Gaasperplas,speelvijver Noord",2019-04-29,0.0,,80.0,60.0,,,14.4,0.3,3.1,10.7,9.8,0.0,0.0,1025.3,79,3.1
"Gaasperplas,speelvijver Noord",2019-05-13,0.0,,30.0,15.0,,,12.0,0.3,3.1,9.8,12.3,0.0,0.0,1039.7,67,3.7
"Gaasperplas,speelvijver Noord",2019-05-27,0.0,,290.0,50.0,,,17.9,0.3,5.6,14.1,11.3,0.0,-0.1,1008.7,73,4.1
"Gaasperplas,speelvijver Noord",2019-06-11,0.0,,330.0,60.0,,,17.9,0.3,3.9,15.1,9.4,0.6,0.4,1011.6,76,3.8
"Gaasperplas,speelvijver Noord",2019-06-24,2.0,,180.0,15.0,,,24.5,0.3,4.2,25.5,11.0,0.0,0.0,1017.5,60,5.2
"Gaasperplas,speelvijver Noord",2019-07-08,0.0,,30.0,20.0,,,18.0,0.3,4.9,13.9,5.1,0.7,1.0,1020.2,72,2.5
"Gaasperplas,speelvijver Noord",2019-07-22,6.0,,2100.0,110.0,,,23.0,0.3,5.2,20.6,11.6,0.0,0.0,1022.1,69,4.8
"Gaasperplas,speelvijver Noord",2019-07-24,22.0,,1200.0,230.0,,,26.0,0.3,3.8,25.8,13.0,0.0,0.0,1014.0,61,5.0
"Gaasperplas,speelvijver Noord",2019-08-05,1.0,,130.0,15.0,,,22.2,0.4,5.5,20.3,6.5,0.0,-0.1,1010.0,73,3.5
"Gaasperplas,speelvijver Noord",2019-08-19,0.0,,90.0,15.0,,,18.3,0.3,6.9,17.1,10.2,0.4,1.6,1014.3,74,3.4
"Gaasperplas,speelvijver Noord",2019-09-02,0.0,,350.0,110.0,,,17.8,0.3,4.8,15.9,10.3,0.7,0.3,1022.3,67,2.8
"Gaasperplas,speelvijver Noord",2019-09-16,0.0,,850.0,480.0,,,16.6,0.3,2.2,13.6,0.8,7.5,8.0,1021.0,87,0.9
"Gaasperplas,speelvijver Noord",2019-09-19,0.0,,230.0,80.0,,,15.3,0.3,1.6,13.0,5.1,0.0,0.0,1030.8,77,1.7
"Gaasperplas,speelvijver Noord",2020-04-28,0.0,1.2,140.0,20.0,,,13.0,0.3,4.8,9.1,0.0,6.8,2.9,1004.7,87,0.6
"Gaasperplas,speelvijver Noord",2020-05-11,0.0,0.5,90.0,60.0,,,14.8,0.3,7.5,8.4,10.6,0.0,-0.1,1016.7,53,3.3
"Gaasperplas,speelvijver Noord",2020-05-25,0.0,,90.0,15.0,,,17.2,0.4,3.6,15.2,14.0,0.0,0.0,1034.1,74,4.6
"Gaasperplas,speelvijver Noord",2020-06-08,0.0,0.5,230.0,60.0,,,15.8,0.3,4.4,13.7,6.3,0.2,0.1,1015.0,75,2.8
"Gaasperplas,speelvijver Noord",2020-06-22,0.0,,350.0,60.0,,,19.8,0.3,3.3,17.0,15.3,0.0,0.0,1024.8,67,5.1
"Gaasperplas,speelvijver Noord",2020-07-06,0.0,2.0,210.0,140.0,,,16.8,0.4,8.1,14.7,6.4,1.0,1.7,1016.1,71,2.9
"Gaasperplas,speelvijver Noord",2020-07-20,3.0,,580.0,20.0,,,22.6,0.3,4.0,15.4,14.3,0.0,0.0,1021.4,70,4.4
"Gaasperplas,speelvijver Noord",2020-08-03,0.0,0.5,270.0,20.0,,,20.7,0.5,2.9,15.6,3.6,2.2,3.7,1014.5,81,2.1
"Gaasperplas,speelvijver Noord",2020-08-17,0.0,,5400.0,580.0,,,22.8,0.3,2.5,19.3,4.6,1.2,8.8,1009.1,85,2.4
"Gaasperplas,speelvijver Noord",2020-08-19,0.0,,700.0,30.0,,,24.0,1.0,4.8,21.6,8.4,0.7,0.3,1007.1,70,3.5
"Gaasperplas,speelvijver Noord",2020-08-31,0.0,2.4,800.0,220.0,,,16.9,0.3,3.1,14.9,4.9,0.0,0.0,1019.8,67,2.2
"Gaasperplas,speelvijver Noord",2020-09-14,3.0,,490.0,50.0,,,18.8,0.3,2.1,19.5,11.6,0.0,0.0,1022.9,77,3.0
"Gaasperplas,speelvijver Noord",2021-04-19,0.0,0.5,15.0,40.0,,,11.9,0.4,2.4,9.5,6.7,0.0,-0.1,1020.3,79,2.3
"Gaasperplas,speelvijver Noord",2021-05-17,0.0,,140.0,410.0,,,13.6,0.3,4.1,11.1,4.0,4.4,8.5,1003.6,85,2.1
"Gaasperplas,speelvijver Noord",2021-05-19,0.0,,270.0,130.0,,,13.7,0.3,4.0,11.0,5.6,0.7,1.3,1016.4,82,2.3
"Gaasperplas,speelvijver Noord",2021-05-31,0.0,0.5,30.0,15.0,,,20.9,1.0,3.6,16.5,15.2,0.0,0.0,1022.4,66,5.1
"Gaasperplas,speelvijver Noord",2021-06-14,0.0,,270.0,20.0,,,22.0,1.0,3.6,19.7,14.5,0.0,0.0,1020.7,65,5.3
"Gaasperplas,speelvijver Noord",2021-06-28,5.0,0.5,480.0,20.0,,,23.4,0.3,2.1,20.2,4.6,0.3,0.1,1013.6,84,2.3
"Gaasperplas,speelvijver Noord",2021-07-12,0.0,,110.0,30.0,,,22.0,0.3,2.7,19.4,1.9,1.3,1.9,1010.9,82,2.0
"Gaasperplas,speelvijver Noord",2021-07-26,0.0,0.7,250.0,30.0,,,21.0,1.0,3.6,19.3,8.0,0.9,4.6,1009.1,85,3.2
"Gaasperplas,speelvijver Noord",2021-08-09,0.0,,450.0,140.0,,,18.4,0.3,6.7,16.7,5.6,2.1,6.5,1013.2,79,2.4
"Gaasperplas,speelvijver Noord",2021-08-23,0.0,1.5,480.0,210.0,,,18.8,0.3,4.8,18.4,9.4,0.0,0.0,1025.0,73,3.5
"Gaasperplas,speelvijver Noord",2021-09-06,0.0,,160.0,20.0,,,17.8,1.0,1.4,18.1,8.8,0.0,0.0,1024.1,76,2.8
"Gaasperplas,speelvijver Noord",2021-09-20,0.0,0.9,450.0,110.0,,,16.5,1.0,3.4,13.1,8.8,0.0,0.0,1022.8,70,2.0
"Gaasperplas,speelvijver Noord",2022-04-19,0.0,0.5,50.0,140.0,,,15.3,1.0,4.0,13.0,12.2,0.0,0.0,1015.6,59,3.3
"Gaasperplas,speelvijver Noord",2022-05-16,0.0,1.2,20.0,60.0,,,19.8,0.3,5.3,17.6,5.9,0.8,2.7,1015.6,70,2.8
"Gaasperplas,speelvijver Noord",2022-05-30,0.0,,90.0,15.0,,,14.9,0.5,1.8,10.6,5.0,0.9,0.8,1014.0,73,2.3
"Gaasperplas,speelvijver Noord",2022-06-13,0.0,0.8,20.0,15.0,,,19.3,1.0,4.7,14.4,11.6,0.0,0.0,1023.2,69,4.2
"Gaasperplas,speelvijver Noord",2022-06-27,0.0,,200.0,20.0,,,20.5,1.0,2.8,16.7,4.4,1.9,2.1,1017.1,77,1.7
"Gaasperplas,speelvijver Noord",2022-07-11,0.0,0.8,350.0,30.0,,,20.2,1.0,2.6,18.4,5.6,0.0,0.0,1024.4,79,3.3
"Gaasperplas,speelvijver Noord",2022-07-25,0.0,,250.0,50.0,,,22.6,0.3,6.6,20.7,4.3,0.0,-0.1,1009.8,72,3.0
"Gaasperplas,speelvijver Noord",2022-08-08,0.0,0.8,110.0,30.0,,,20.0,0.3,2.8,17.9,5.7,0.0,0.0,1026.9,74,2.6
"Gaasperplas,speelvijver Noord",2022-08-22,0.0,,110.0,15.0,,,22.5,1.0,2.5,20.4,8.6,0.0,0.0,1015.3,69,3.2
"Gaasperplas,speelvijver Noord",2022-09-05,0.0,0.8,80.0,90.0,,,21.0,1.0,4.1,22.3,7.2,2.3,3.4,1018.0,62,3.0
"Gaasperplas,speelvijver Noord",2022-09-19,0.0,,160.0,40.0,,,15.2,1.0,4.0,13.3,4.6,1.6,2.3,1020.8,79,1.7
"Gaasperplas,speelvijver Noord",2023-05-15,0.0,,230.0,15.0,,,16.3,1.0,4.8,10.4,0.5,0.6,0.3,1016.5,89,1.1
"Gaasperplas,speelvijver Noord",2023-05-30,0.0,,60.0,15.0,,,16.3,1.0,4.8,12.7,0.8,0.0,0.0,1028.0,77,1.6
"Gaasperplas,speelvijver Noord",2023-06-12,0.0,1.2,130.0,15.0,,,23.3,1.0,4.7,24.3,13.6,0.0,0.0,1015.4,42,5.8
"Gaasperplas,speelvijver Noord",2023-06-26,30.0,,460.0,110.0,,,24.0,0.3,5.9,18.9,13.0,0.0,-0.1,1017.5,70,5.0
"Gaasperplas,speelvijver Noord",2023-07-10,1.0,0.5,180.0,15.0,,,23.9,1.0,3.8,20.0,14.2,0.0,0.0,1020.1,67,5.3
"Gaasperplas,speelvijver Noord",2023-07-24,0.0,,110.0,160.0,,,20.2,1.0,4.9,16.9,3.1,0.0,-0.1,1003.7,78,2.4
"Gaasperplas,speelvijver Noord",2023-08-07,0.0,2.0,350.0,60.0,,,18.0,1.0,7.5,16.0,8.1,1.2,1.9,1015.2,74,3.1
"Gaasperplas,speelvijver Noord",2023-08-22,7.0,,670.0,20.0,,,22.5,1.0,3.5,18.8,9.1,0.0,0.0,1020.4,81,3.2
"Gaasperplas,speelvijver Noord",2023-09-04,0.0,0.6,350.0,200.0,,,19.0,1.0,2.9,18.5,11.0,0.0,0.0,1024.7,78,3.3
"Gaasperplas,speelvijver Noord",2023-09-18,0.0,,4800.0,2000.0,,,19.3,1.0,7.0,18.9,5.9,2.9,16.0,1002.6,82,2.0
"Gaasperplas,speelvijver Noord",2023-09-20,0.0,,440.0,390.0,,,18.4,1.0,8.2,18.6,1.8,0.0,0.0,1003.1,77,1.1
Gaasperplas_ strand zuidoever,2007-04-16,0.0,,90.0,32.0,,,16.0,1.0,3.5,16.3,12.5,0.0,0.0,1021.8,70,3.5
Gaasperplas_ strand zuidoever,2007-05-01,0.0,,50.0,2.5,,,14.6,1.0,5.7,15.7,13.8,0.0,0.0,1016.8,48,4.2
Gaasperplas_ strand zuidoever,2007-05-14,0.0,,90.0,20.0,,,15.0,1.0,7.4,13.7,4.3,1.6,0.8,1004.7,75,2.2
Gaasperplas_ strand zuidoever,2007-06-04,0.0,,80.0,15.0,,,20.0,0.8,4.0,18.8,10.9,0.0,0.0,1022.3,74,4.2
Gaasperplas_ strand zuidoever,2007-06-18,0.0,,60.0,18.0,,,19.5,1.0,2.7,16.5,2.7,5.9,9.1,1009.1,87,1.8
Gaasperplas_ strand zuidoever,2007-07-02,0.0,,640.0,10.0,,,19.0,1.0,6.1,17.2,5.9,3.1,2.4,1004.2,80,2.8
Gaasperplas_ strand zuidoever,2007-07-16,0.0,,350.0,32.0,,,21.0,0.2,3.7,19.9,3.0,5.5,48.1,1010.6,85,2.2
Gaasperplas_ strand zuidoever,2007-08-06,0.0,,140.0,12.0,,,20.9,0.9,4.4,20.3,5.2,1.3,0.8,1009.5,78,2.9
Gaasperplas_ strand zuidoever,2007-08-20,0.0,,20.0,7.5,,,19.0,1.0,3.5,16.7,2.6,0.0,0.0,1003.7,87,2.1
Gaasperplas_ strand zuidoever,2007-09-03,0.0,,390.0,82.0,,,18.5,1.0,4.5,14.1,8.4,4.0,13.4,1015.4,78,2.6
Gaasperplas_ strand zuidoever,2007-09-17,0.0,,130.0,28.0,,,16.0,1.0,3.5,14.4,0.0,10.7,13.8,1008.3,90,0.4
Gaasperplas_ strand zuidoever,2008-04-22,0.0,,20.0,2.5,,,10.5,1.0,5.7,13.0,9.5,0.0,0.0,1010.6,62,3.1
Gaasperplas_ strand zuidoever,2008-05-07,6.0,,50.0,2.5,,,17.7,1.0,4.1,18.3,14.0,0.0,0.0,1021.6,58,4.4
Gaasperplas_ strand zuidoever,2008-05-20,0.0,,15.0,10.0,,,15.6,1.0,4.3,11.4,14.3,0.0,0.0,1019.3,65,4.3
Gaasperplas_ strand zuidoever,2008-06-03,0.0,,130.0,10.0,,,21.0,1.0,3.5,17.6,4.9,4.0,4.4,1011.3,91,2.1
Gaasperplas_ strand zuidoever,2008-06-17,1.0,,15.0,0.0,,,19.0,1.0,1.8,14.5,14.2,0.0,0.0,1013.6,64,4.6
Gaasperplas_ strand zuidoever,2008-07-01,23.0,,30.0,10.0,,,21.6,1.0,2.8,20.1,14.6,0.0,0.0,1015.8,62,5.3
Gaasperplas_ strand zuidoever,2008-07-15,0.0,,90.0,12.0,,,20.2,0.9,6.0,18.4,0.7,0.6,0.3,1023.7,85,1.3
Gaasperplas_ strand zuidoever,2008-07-28,0.0,,140.0,12.0,,,23.7,1.0,2.5,22.3,2.3,2.8,7.2,1015.0,85,2.4
Gaasperplas_ strand zuidoever,2008-08-12,0.0,,140.0,15.0,,,19.7,1.0,7.6,17.2,7.5,0.8,0.9,994.7,77,2.7
Gaasperplas_ strand zuidoever,2008-08-26,0.0,,350.0,28.0,,,23.2,1.0,5.6,17.7,0.0,0.0,0.0,1020.6,85,0.5
Gaasperplas_ strand zuidoever,2008-09-09,0.0,,180.0,45.0,,,18.3,1.0,4.5,17.7,10.1,1.1,1.1,1013.7,77,3.0
Gaasperplas_ strand zuidoever,2009-04-28,0.0,,20.0,15.0,,,15.2,1.0,3.2,9.6,1.7,4.0,1.6,1002.8,82,1.1
Gaasperplas_ strand zuidoever,2009-05-12,0.0,,30.0,15.0,,,13.1,1.0,7.5,13.4,10.5,0.0,0.0,1021.5,52,4.0
Gaasperplas_ strand zuidoever,2009-05-26,0.0,,220.0,15.0,,,18.5,1.0,6.3,13.3,1.6,9.4,37.4,1011.6,90,0.7
Gaasperplas_ strand zuidoever,2009-06-09,0.0,,140.0,15.0,,,17.1,1.0,6.9,15.0,7.7,2.6,4.0,1004.9,77,3.4
Gaasperplas_ strand zuidoever,2009-06-23,0.0,,30.0,15.0,,,20.5,1.0,4.6,16.4,15.3,0.0,0.0,1028.3,66,5.0
Gaasperplas_ strand zuidoever,2009-07-07,0.0,,910.0,130.0,,,19.4,1.0,6.0,16.7,5.6,3.6,15.0,1003.3,79,2.8
Gaasperplas_ strand zuidoever,2009-07-21,8.0,,30.0,15.0,,,20.7,1.0,3.4,19.5,3.6,1.3,4.2,1009.7,75,3.1
Gaasperplas_ strand zuidoever,2009-08-04,3.0,,30.0,15.0,,,19.7,1.0,3.7,19.6,10.1,0.0,0.0,1020.0,63,4.0
Gaasperplas_ strand zuidoever,2009-08-18,7.0,,110.0,20.0,,,23.0,1.0,2.6,19.8,9.3,0.0,0.0,1019.6,69,3.1
Gaasperplas_ strand zuidoever,2009-09-01,0.0,,90.0,15.0,,,18.2,0.0,6.7,18.1,2.8,0.0,-0.1,1008.3,69,1.5
Gaasperplas_ strand zuidoever,2009-09-15,0.0,,50.0,15.0,,,15.8,1.0,5.9,15.7,0.0,3.6,0.7,1019.7,83,0.6
Gaasperplas_ strand zuidoever,2010-04-26,0.0,,60.0,20.0,,,16.8,1.0,5.0,11.6,10.6,0.0,0.0,1024.3,84,3.3
Gaasperplas_ strand zuidoever,2010-05-10,0.0,,20.0,15.0,,,10.7,1.0,3.2,6.9,1.8,0.4,0.1,1011.5,73,1.5
Gaasperplas_ strand zuidoever,2010-05-25,1.0,,50.0,15.0,,,20.3,1.0,3.5,12.5,11.4,0.0,0.0,1013.7,67,3.8
Gaasperplas_ strand zuidoever,2010-06-07,0.0,,20.0,20.0,,,18.6,1.0,4.8,14.1,2.5,0.0,0.0,1010.6,86,1.7
Gaasperplas_ strand zuidoever,2010-06-21,0.0,,180.0,15.0,,,16.4,1.0,3.5,13.4,12.8,0.4,0.2,1022.0,71,4.3
Gaasperplas_ strand zuidoever,2010-07-05,0.0,,50.0,15.0,,,24.4,1.0,4.4,18.1,7.4,0.0,0.0,1020.2,69,4.0
Gaasperplas_ strand zuidoever,2010-07-19,14.0,,60.0,20.0,,,22.6,1.0,2.1,20.6,13.7,0.0,0.0,1022.1,63,4.9
Gaasperplas_ strand zuidoever,2010-08-02,1.0,,50.0,30.0,,,20.9,1.0,2.9,17.3,3.7,0.6,0.2,1015.3,80,2.6
Gaasperplas_ strand zuidoever,2010-08-16,0.0,,180.0,50.0,,,20.2,1.0,3.1,19.6,4.1,2.9,3.7,1007.4,84,2.3
Gaasperplas_ strand zuidoever,2010-08-30,0.0,,920.0,110.0,,,15.9,1.0,7.3,14.8,7.5,1.1,3.8,1016.3,73,2.3
Gaasperplas_ strand zuidoever,2010-09-13,0.0,,20.0,15.0,,,17.6,1.0,5.1,15.2,5.4,2.4,1.0,1023.5,78,2.2
Gaasperplas_ strand zuidoever,2011-04-26,7.0,,80.0,15.0,,,19.7,1.0,5.3,14.4,12.8,0.0,0.0,1022.5,65,3.7
Gaasperplas_ strand zuidoever,2011-05-09,0.0,,60.0,15.0,,,17.5,1.0,2.5,15.6,5.5,0.9,0.7,1022.9,84,2.1
Gaasperplas_ strand zuidoever,2011-05-23,0.0,,1300.0,210.0,,,17.4,1.0,6.7,15.7,13.6,0.0,0.0,1020.6,64,4.5
Gaasperplas_ strand zuidoever,2011-06-06,0.0,,50.0,20.0,,,18.7,1.0,3.0,14.9,0.5,2.2,2.7,1003.6,87,1.3
Gaasperplas_ strand zuidoever,2011-06-20,0.0,,20.0,15.0,,,16.2,1.0,3.0,15.4,4.5,1.5,0.6,1012.4,79,2.6
Gaasperplas_ strand zuidoever,2011-07-04,0.0,335.15,20.0,20.0,,,19.8,1.0,3.3,15.6,11.5,0.0,0.0,1017.6,74,4.6
Gaasperplas_ strand zuidoever,2011-07-18,0.0,,140.0,30.0,,,17.5,1.0,8.1,14.9,0.2,9.4,15.9,997.8,89,0.9
Gaasperplas_ strand zuidoever,2011-08-01,1.0,,110.0,15.0,,,17.5,1.0,2.0,16.0,14.0,0.0,0.0,1016.6,77,4.4
Gaasperplas_ strand zuidoever,2011-08-15,0.0,,60.0,90.0,,,19.5,1.0,3.4,16.2,11.6,0.0,0.0,1015.3,75,3.9
Gaasperplas_ strand zuidoever,2011-08-29,0.0,,380.0,60.0,,,16.5,1.0,5.9,13.3,3.0,2.0,3.1,1014.3,75,1.2
Gaasperplas_ strand zuidoever,2011-09-12,0.0,,30.0,15.0,,,17.0,1.0,10.8,16.9,3.8,0.6,0.6,1006.2,82,1.2
Gaasperplas_ strand zuidoever,2012-04-17,0.0,,30.0,15.0,,,9.1,1.0,7.4,5.0,1.1,3.4,1.7,1005.1,78,1.1
Gaasperplas_ strand zuidoever,2012-05-08,0.0,,30.0,15.0,,,13.2,1.0,4.2,12.8,0.4,6.5,3.8,1009.7,86,1.2
Gaasperplas_ strand zuidoever,2012-05-22,1.0,,80.0,20.0,,,19.1,1.0,3.3,20.4,11.4,0.0,0.0,1009.2,75,4.5
Gaasperplas_ strand zuidoever,2012-06-05,0.0,,80.0,15.0,,,17.2,1.0,3.1,11.7,6.1,0.0,0.0,1016.2,67,2.5
Gaasperplas_ strand zuidoever,2012-06-19,0.0,,20.0,15.0,,,16.1,0.9,2.8,15.3,9.9,0.0,0.0,1019.9,77,3.8
Gaasperplas_ strand zuidoever,2012-07-03,0.0,,30.0,15.0,,,19.2,1.0,2.5,18.9,2.9,0.7,0.3,1016.3,75,2.9
Gaasperplas_ strand zuidoever,2012-07-17,0.0,,180.0,15.0,,,18.4,1.0,5.7,17.0,0.7,0.0,0.0,1019.8,86,1.6
Gaasperplas_ strand zuidoever,2012-07-31,0.0,,30.0,30.0,,,19.2,1.0,3.8,15.3,0.1,5.4,6.0,1016.3,87,1.3
Gaasperplas_ strand zuidoever,2012-08-14,6.0,,80.0,20.0,,,22.4,1.0,1.9,20.8,4.1,0.0,0.0,1013.0,81,2.5
Gaasperplas_ strand zuidoever,2012-08-28,0.0,,60.0,15.0,,,20.1,1.0,4.7,17.9,6.4,1.2,1.7,1014.3,82,2.5
Gaasperplas_ strand zuidoever,2012-09-11,0.0,,200.0,110.0,,,19.5,1.0,5.3,15.6,4.4,2.0,3.5,1010.9,78,1.6
Gaasperplas_ strand zuidoever,2013-04-22,0.0,,30.0,15.0,,,7.3,1.0,4.9,8.8,10.2,0.0,0.0,1016.3,72,2.7
Gaasperplas_ strand zuidoever,2013-05-06,3.0,,50.0,20.0,,,17.2,1.0,2.8,15.2,13.2,0.0,0.0,1020.1,61,3.8
Gaasperplas_ strand zuidoever,2013-05-21,0.0,,2000.0,200.0,,,12.6,1.0,4.5,9.7,0.0,9.2,15.2,1010.8,94,0.4
Gaasperplas_ strand zuidoever,2013-05-24,0.0,,60.0,15.0,,,11.2,1.0,4.3,7.5,4.3,1.7,2.9,1011.3,79,1.9
Gaasperplas_ strand zuidoever,2013-06-03,0.0,,90.0,15.0,,,15.6,1.0,5.0,10.7,5.0,0.0,0.0,1029.9,73,2.6
Gaasperplas_ strand zuidoever,2013-06-17,0.0,,30.0,15.0,,,19.1,1.0,5.0,16.9,8.3,0.0,0.0,1015.5,70,3.7
Gaasperplas_ strand zuidoever,2013-07-08,0.0,,50.0,15.0,,,21.4,1.0,5.3,19.2,14.6,0.0,0.0,1031.8,69,5.1
Gaasperplas_ strand zuidoever,2013-07-22,5.0,,650.0,30.0,,,25.4,1.0,2.1,25.3,11.0,0.0,0.0,1016.1,62,4.9
Gaasperplas_ strand zuidoever,2013-08-12,0.0,,60.0,15.0,,,19.9,1.0,4.6,16.9,6.4,0.0,0.0,1014.9,72,2.9
Gaasperplas_ strand zuidoever,2013-08-26,0.0,,160.0,20.0,,,20.0,1.0,4.9,18.8,12.9,0.0,0.0,1017.6,64,3.9
Gaasperplas_ strand zuidoever,2013-09-09,0.0,,330.0,250.0,,,17.7,1.0,3.9,13.0,5.4,4.8,4.5,1015.6,87,2.0
Gaasperplas_ strand zuidoever,2013-09-23,0.0,,30.0,15.0,,,16.2,1.0,3.3,16.1,1.0,0.0,0.0,1024.5,93,1.1
Gaasperplas_ strand zuidoever,2014-04-29,0.0,,15.0,15.0,,,15.6,1.0,2.2,12.9,2.9,1.2,1.2,1012.3,90,1.7
Gaasperplas_ strand zuidoever,2014-05-13,0.0,,60.0,15.0,,,12.9,1.0,3.5,10.5,11.6,0.0,0.0,1018.1,76,3.5
Gaasperplas_ strand zuidoever,2014-05-27,0.0,,60.0,50.0,,,19.2,1.0,2.3,15.9,0.4,8.9,9.8,1010.6,92,1.2
