name,Location_Unique,Lat,Long,Status,review_datetime_utc,Sentiment_Score_mean,Sentiment_Score_median,Sentiment_Score_std,review_rating_mean,review_rating_median,review_rating_std,O2_mg/l_mean,O2_mg/l_median,O2_mg/l_std,O2_%_mean,O2_%_median,O2_%_std,T_oC_mean,T_oC_median,T_oC_std,ZICHT_m_mean,ZICHT_m_median,ZICHT_m_std,INTTNLETRCCN_nKVE/dl_mean,INTTNLETRCCN_nKVE/dl_median,INTTNLETRCCN_nKVE/dl_std,E_COLI_nKVE/dl_mean,E_COLI_nKVE/dl_median,E_COLI_nKVE/dl_std,BADGT_n_mean,BADGT_n_median,BADGT_n_std,CHLFa_ug/l_blauwalg_mean,CHLFa_ug/l_blauwalg_median,CHLFa_ug/l_blauwalg_std,FG_mean,FG_median,FG_std,TG_mean,TG_median,TG_std,SQ_mean,SQ_median,SQ_std,DR_mean,DR_median,DR_std,RH_mean,RH_median,RH_std,PG_mean,PG_median,PG_std,UG_mean,UG_median,UG_std,EV24_mean,EV24_median,EV24_std,Amenities_Score,Normalized_Amenities_Score
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-10-01,0.7139,0.7139,0.2433861540844097,4.5,5.0,0.7559289460184544,5.3,5.3,0.0,54.0,54.0,0.0,15.4,15.4,0.0,1.0,1.0,0.0,,,,,,,,,,,,,5.470967741935484,5.6,1.921053734431268,11.506451612903225,11.5,1.7314799718217881,2.454838709677419,2.4,1.9137598038648052,2.629032258064516,1.7,2.6969748343327073,3.8741935483870966,2.1,4.561477388142905,1008.7838709677419,1009.6,10.198484921449277,84.06451612903226,84.0,4.376885649828576,0.7258064516129032,0.8,0.27820593664439147,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-09-01,0.4659,0.5859,0.3849526107198132,4.368421052631579,5.0,0.8306975860878395,5.3,5.3,0.0,53.0,53.0,0.0,16.6,16.6,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.023333333333333,4.55,1.603679796246398,15.620000000000001,15.35,2.0141830436515282,6.3533333333333335,5.95,3.867448196880671,1.6866666666666668,0.0,2.941171346400765,2.8800000000000003,0.0,5.88010203993094,1015.6566666666666,1018.5,8.753311119545302,79.0,78.0,7.8655366420014,1.91,2.0,0.7798931550753175,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-08-01,0.3227,0.4404,0.4931683057311953,4.285714285714286,4.5,0.9947597892594604,3.7,3.7,0.0,40.0,40.0,0.0,18.8,18.8,0.0,0.8,0.8,0.0,,,,,,,,,,,,,4.383870967741935,4.0,2.0405718322826853,20.548387096774192,20.4,3.9303509625561133,7.509677419354839,7.5,3.8561517536988394,1.1806451612903226,0.4,1.668961306271486,2.5612903225806454,0.3,4.557848772375169,1012.1967741935483,1013.5,4.86829663997768,72.29032258064517,76.0,9.696003660927316,3.129032258064516,3.4,1.149528247807684,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-07-01,0.50044,0.48465,0.2214275311598708,4.375,5.0,0.8242255917447339,2.3,2.3,0.0,25.0,25.0,0.0,18.6,18.6,0.0,0.9,0.9,0.0,,,,,,,,,,,,,4.709677419354839,4.2,2.110397430650579,17.009677419354837,17.3,1.9291239594127787,7.090322580645162,6.4,4.350777078438322,2.161290322580645,0.3,3.8990219964262867,2.0451612903225804,0.3,3.807449295168061,1016.0129032258063,1015.1,5.3193949410644175,74.64516129032258,74.0,9.240682795246926,3.083870967741935,3.1,1.1262546478207196,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-06-01,0.5213866666666667,0.5994,0.3097953883883145,4.463414634146342,5.0,0.636300281927085,9.7,9.7,0.0,104.0,104.0,0.0,19.4,19.4,0.0,1.1,1.1,0.0,,,,,,,,,,,,,4.489999999999999,4.15,1.739607235364734,17.293333333333333,17.45,3.4369495518878685,7.956666666666666,7.85,4.750837353094248,1.4333333333333333,0.3,1.8009873835081565,2.996666666666667,0.35,4.4378285480877055,1012.6233333333333,1013.0999999999999,7.617028437797912,71.23333333333333,72.5,8.708935385887047,3.5366666666666666,3.4,1.2921515219027355,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-05-01,0.4342571428571428,0.4215,0.4141970660492533,4.565217391304348,5.0,0.5897678246195885,9.4,9.4,0.0,89.0,89.0,0.0,13.6,13.6,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.535483870967742,4.5,1.7851625727171676,13.248387096774193,13.6,3.4268268937653543,10.806451612903226,11.7,3.8414492799253948,0.29354838709677417,0.0,0.7832667258269824,0.3225806451612903,0.0,1.0994748533612662,1021.4903225806452,1022.4,7.774953784271289,66.3225806451613,66.0,7.23516099548539,3.7,4.0,1.0298762844586347,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-04-01,0.9589,0.9589,0.0,4.0,4.0,0.0,10.3,10.3,0.0,97.0,97.0,0.0,12.1,12.1,0.0,1.0,1.0,0.0,,,,,,,,,,,,,4.3933333333333335,3.9,1.8661785075984083,11.046666666666665,11.8,2.7900696924788253,8.97,10.75,4.198900649773303,0.5700000000000001,0.0,1.6478571944599243,0.39666666666666667,0.0,1.0248522928804045,1017.9733333333334,1019.05,7.308941251797155,63.4,65.0,11.831032640193895,2.756666666666667,3.05,0.900253050844903,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-03-01,0.2790375,0.58565,0.680404499308001,4.631578947368421,5.0,0.5972647203701476,9.0,9.0,0.0,75.0,75.0,0.0,5.9,5.9,0.0,0.8,0.8,0.0,,,,,,,,,,,,,6.238709677419355,5.8,2.0726603474068774,6.890322580645161,6.8,1.7775218049040833,6.370967741935484,6.7,4.294497120163017,1.667741935483871,0.0,3.2378195666692022,1.558064516129032,0.0,3.0127443489228716,1016.9193548387096,1020.2,12.782735820928071,72.12903225806451,78.0,14.807892262473548,1.4806451612903226,1.4,0.6967293892404894,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-02-01,0.330225,0.21075,0.4834512893422321,4.4,5.0,1.3416407864998738,6.3,6.3,0.0,50.0,50.0,0.0,5.2,5.2,0.0,1.0,1.0,0.0,,,,,,,,,,,,,8.63448275862069,9.2,3.2385901426039854,7.162068965517242,7.6,2.033412927364925,2.6482758620689655,2.6,2.2141583112660204,3.3241379310344827,2.5,2.931241372008629,4.76551724137931,2.7,5.800254207394051,1009.7827586206897,1010.0,10.680632454653207,80.20689655172414,81.0,6.27188202708822,0.5482758620689655,0.6,0.23433057942113114,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2020-01-01,0.5659833333333334,0.5568,0.2365887352911517,4.846153846153846,5.0,0.3755338080994055,5.8,5.8,0.0,45.0,45.0,0.0,5.3,5.3,0.0,1.2,1.2,0.0,,,,,,,,,,,,,5.961290322580646,6.2,2.26839113361599,6.558064516129033,6.5,2.3925656620980273,1.3806451612903226,0.4,1.8608737723634385,1.993548387096774,1.0,2.4387907479270994,1.5096774193548386,0.7,2.33298297751207,1020.0387096774194,1020.7,12.55246222908028,88.35483870967742,89.0,5.2212245943176985,0.267741935483871,0.3,0.1467653311751913,4,0.29
Park de Oeverlanden,Nieuwemeer,52.3349228,4.8191074,official,2019-12-01,0.540475,0.5466500000000001,0.0687838825597974,4.384615384615385,5.0,1.12089707663561,5.7,5.7,0.0,49.0,49.0,0.0,6.9,6.9,0.0,0.8,0.8,0.0,,,,,,,,,,,,,5.548387096774194,5.2,2.1842354486907722,6.080645161290323,6.2,2.523875585456558,2.5999999999999996,2.4,2.2782279474725877,2.4064516129032256,1.6,2.4903601869131133,2.335483870967742,0.7,3.2529439160101723,1009.925806451613,1007.4,16.376083421276395,87.03225806451613,88.0,5.373074274492134,0.2838709677419355,0.3,0.11939842273110804,4,0.29
