Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Gaasperplas,52.3069241,4.9864444,official,0.2294,,,5.0,7.8,6.949999999999999,3.85,2.1,1.5,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,0.5,5.0,5.5,1.0,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,,,0.5,4.7,5.3,0.2,1.2,0.6,0.36
Gaasperplas,52.3069241,4.9864444,official,0.2863,35.0,250.0,1.05,3.45,16.45,6.0,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7717,80.0,360.0,1.15,4.5,17.0,5.6,0.1,0.1,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5032,30.0,80.0,0.8,3.6,17.9,5.3,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,,20.0,300.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6384,20.0,110.0,0.5,4.4,11.1,5.9,1.2,1.3,0.36
Gaasperplas,52.3069241,4.9864444,official,,30.0,15.0,0.5,4.4,6.85,7.0,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7016,,,0.5,4.2,6.3,3.3,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.75665,,,0.5,5.15,5.25,5.2,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.3182,,,0.6,4.8,3.2,1.5,1.4,0.8,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,,,0.6,4.7,5.5,0.9,2.0,1.3,0.36
Gaasperplas,52.3069241,4.9864444,official,0.38585,,,0.6,4.5,8.9,2.3,0.3,0.25,0.36
Gaasperplas,52.3069241,4.9864444,official,0.6992499999999999,,,1.6,5.6,11.5,2.4,1.7,2.1,0.36
Gaasperplas,52.3069241,4.9864444,official,0.7964,32.5,310.0,1.6,4.55,15.35,5.95,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,,45.0,485.0,1.35,4.0,20.4,7.5,0.4,0.3,0.36
Gaasperplas,52.3069241,4.9864444,official,,25.0,160.0,1.9,4.2,17.3,6.4,0.3,0.3,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,40.0,125.0,0.55,4.15,17.45,7.85,0.3,0.35,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4215,45.0,90.0,0.5,4.5,13.6,11.7,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4754,,,0.5,5.8,6.8,6.7,0.0,0.0,0.36
Gaasperplas,52.3069241,4.9864444,official,0.5994,,,0.5,9.2,7.6,2.6,2.5,2.7,0.36
Gaasperplas,52.3069241,4.9864444,official,0.4593,,,0.5,6.2,6.5,0.4,1.0,0.7,0.36
Gaasperplas,52.3069241,4.9864444,official,,,,0.5,5.2,6.2,2.4,1.6,0.7,0.36
Gaasperplas,52.3069241,4.9864444,official,0.0,,,0.6,4.05,6.2,1.4,0.6,0.8,0.36
