CHLFa_ug/l_blauwalg,E_COLI_nKVE/dl,INTTNLETRCCN_nKVE/dl,O2_%,O2_mg/l,T_oC,ZICHT_m,FG,TG,SQ,DR,RH
1.2,1200.0,140.0,68.332296850565,6.449138297004575,18.49644149822737,0.8101350750217862,7.2,17.5,4.6,1.4,3.8
1.3,180.0,15.0,67.13179180858143,6.3202019630836475,18.678681396672257,0.8195400185641101,2.3,16.5,0.7,1.9,4.6
136.28432393570256,180.0,20.0,68.41235806779004,8.20665260019484,7.5538578256359585,0.8024509027209898,5.0,4.9,1.7,5.6,7.2
66.73768625008415,330.0,30.0,67.89767864008886,7.042529963989515,12.94714734388722,0.7982196993483908,6.1,11.9,0.0,13.8,8.2
99.33117948456493,140.0,30.0,67.15546438865772,6.43590268014794,16.71281832455106,0.7927996382091306,6.4,15.5,0.1,13.1,21.8
403.9407419365143,200.0,30.0,68.28658186068965,5.849306017910104,21.820112250238157,0.8410986248221113,2.5,20.0,13.3,0.0,0.0
360.6815899643716,250.0,50.0,68.5504053553362,6.414282070299842,18.670345581158966,0.8365858239555101,3.0,16.6,12.7,0.0,0.0
374.7695962989492,370.0,30.0,67.82252347222891,5.19869665508737,25.37136337520485,0.8404561152995794,3.3,24.2,11.7,0.0,0.0
131.84744237166524,130.0,50.0,67.96756873443749,7.330860826799807,12.749099795052533,0.8155608634926804,5.5,10.8,0.3,1.7,1.1
250.25190257624672,20.0,20.0,67.42415898239578,5.832881385108799,21.400170359004147,0.8315094585878249,4.4,20.1,3.3,0.0,-0.1
137.91196208578367,210.0,30.0,67.66292772922995,6.373664059905691,18.34549876015133,0.82251603242526,6.3,17.2,1.7,0.5,0.2
316.931288569911,900.0,50.0,68.61971732460202,6.526993936066319,18.075211920891984,0.8267638304786994,4.0,16.2,13.0,0.0,0.0
221.69678122084224,190.0,15.0,67.82618932059927,6.283479791211821,18.93530564519332,0.8260877990363475,5.0,17.5,4.9,0.9,1.1
220.53833864395347,380.0,15.0,67.49227389134096,6.116786665603807,19.557071505863632,0.8193227885735993,4.8,18.2,3.3,2.6,3.6
201.4825398845478,200.0,30.0,67.76607415782664,6.432046831718835,18.054691796646267,0.820889965941284,5.3,16.5,4.3,1.7,4.6
229.17151902355545,210.0,140.0,67.31897423010462,6.284610691062689,18.311184218197784,0.8200019740764173,3.8,16.6,1.2,3.7,4.7
345.4397740101176,270.0,15.0,67.99848846961717,6.118963203990088,20.061088160196686,0.8330551413110485,3.0,18.2,8.9,0.0,0.0
116.09980427535993,270.0,20.0,67.7119711790821,6.564042238526009,17.21410134371508,0.8165579123532807,6.7,16.0,1.7,1.7,3.2
328.195734392566,1100.0,110.0,67.97341921946331,6.927139353096769,15.267130400090078,0.8164765876793624,2.3,12.7,6.2,0.0,-0.1
