Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Normalized_Amenities_Score,Status
0.7269,6.3,58.0,10.7,0.6,380.1201815809284,302.9136767236796,4.8767117890453315,7.0,12.5,2.3,0.7,3.1,0.36,1
0.9359,9.0,89.0,15.3,4.5,-134.88943596533613,784.1533894335575,0.8,6.3,13.3,10.1,0.0,0.0,0.36,1
0.8172,6.448098354978587,70.5982815604473,19.045059816082315,1.1178185127100164,232.2173813823049,438.64129125334784,4.819276709867464,4.2,18.0,6.4,3.2,5.7,0.36,1
0.6588,6.8062062110913795,70.83075757855507,18.689087425739153,1.124948506602239,209.71036473597428,443.80408568425855,4.805565408617431,3.3,17.0,4.9,0.0,0.0,0.36,1
0.6369,9.1,109.0,24.2,3.3,-145.041347942142,381.4512013700578,0.9,2.8,22.2,4.2,0.8,1.3,0.36,1
0.0,6.967787275417972,70.10066851544079,16.6943786664822,1.0547554783416988,192.62175700340526,520.0628587866613,4.817890544128685,4.0,16.1,10.8,0.0,0.0,0.36,1
0.7906,6.759299852331034,70.68130565651927,18.524386196377158,1.0815106901652474,209.8255239061416,458.40741832185404,4.810512044737085,4.3,17.3,13.4,0.0,0.0,0.36,1
0.5859,7.0,77.0,20.0,0.3,227.4348393530879,282.172546460396,4.772172625756091,1.9,18.9,12.8,0.0,0.0,0.36,1
0.6361,7.399148369283874,70.35955670015346,15.16146005917134,1.0579701281118776,211.0904576539649,488.74319462941685,4.82131281078683,7.2,13.9,9.8,0.5,0.4,0.36,1
0.7506,7.425103857156307,70.34534130898037,15.498919566144245,1.0637810819906353,215.8645803127281,472.7434339359497,4.819698081918064,8.0,14.0,5.7,0.3,0.2,0.36,1
0.4215,7.42910917373347,70.0335102906972,15.071890444534084,1.044128706319455,209.29625236022798,500.223098873882,4.823779261832524,8.0,14.0,5.7,0.3,0.2,0.36,1
0.4215,7.43432539056938,70.92265096194312,15.455955439588614,1.136271298654222,199.0925147272867,469.8698183915585,4.806415199213213,3.3,13.3,2.8,0.0,-0.1,0.36,1
0.0,8.187460708981998,70.75916247363625,10.721562899067585,1.095528166145625,176.96528156152704,540.6350358558939,4.813525522099406,3.5,8.7,10.9,0.0,0.0,0.36,1
0.0,11.9,94.0,5.9,4.0,-285.21335981324705,1161.2976552303808,0.5,8.1,6.4,6.9,0.2,0.2,0.36,1
0.4588,8.226693558139981,69.98655114831227,7.998900734621564,1.0852039395661723,258.3044518878503,535.2159513535807,4.868328930458769,12.3,7.4,1.0,8.2,10.6,0.36,1
