Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.44015,87.6027461389543,442.6859790696826,2.3833468168437513,4.6,18.5,7.6,0.0,0.0,0.43,0
0.6114,67.39873186663662,354.0918898906569,2.0620042262970886,3.8,18.1,8.4,0.0,0.0,0.43,0
0.5994,54.2066897720584,274.1543400708078,1.7567936921127782,4.25,16.950000000000003,9.4,0.05,0.05,0.43,0
0.5703,43.740505395105174,195.42271851653322,1.444856922374682,4.0,11.9,6.9,0.0,0.0,0.43,0
0.5994,242.84850213366667,654.1018692955871,2.830960930063719,4.8,12.4,2.4,3.4,5.0,0.36,1
0.38585,200.0,390.0,0.55,3.1,17.5,6.15,0.0,0.0,0.36,1
0.5789,25.0,265.0,1.35,4.3,18.2,6.0,0.2,0.1,0.36,1
0.6759,15.0,145.0,0.75,5.8,18.0,6.8,0.4,0.3,0.36,1
0.802,25.0,220.0,1.2,4.5,19.950000000000003,13.2,0.0,0.0,0.36,1
0.0,15.0,60.0,4.15,4.3,13.6,8.8,0.0,0.0,0.36,1
0.5470380162841955,49.779229992144785,227.17460526886225,6.8,4.55,9.1,6.5,0.2,0.1,0.36,1
0.7425,113.85379775747447,343.8347310084617,5.4,5.0,6.7,2.9,2.0,1.3,0.36,1
0.5359451703162463,76.80431877358419,194.19654547575658,0.4,4.6,4.5,1.8,1.4,0.5,0.36,1
0.7269,144.95464990687915,431.41830453390315,0.5,5.65,9.4,2.3499999999999996,1.75,1.85,0.36,1
0.9359,93.05421099148981,405.2062402810184,1.0,4.4,13.7,4.3,0.3,0.2,0.36,1
0.8172,40.0,160.0,0.9,3.4,14.45,7.3,1.75,2.8499999999999996,0.36,1
0.64785,17.5,80.0,0.9,3.4,19.8,9.0,0.0,0.0,0.36,1
0.3953,30.0,205.0,0.9,4.2,17.4,9.2,0.0,0.0,0.36,1
0.5859,17.5,80.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.36,1
0.6361,17.5,20.0,0.5,4.0,14.0,9.0,0.0,0.0,0.36,1
0.4215,77.5,32.5,0.5,4.6,9.9,8.2,0.0,0.0,0.36,1
0.0,-6.208373508861602,-72.2846668917659,0.5,4.1,8.7,9.8,0.0,0.0,0.36,1
0.2294,138.31349973592884,406.32108212740644,5.0,7.8,6.949999999999999,3.85,2.1,1.5,0.36,1
0.5408383217160428,74.51725923251547,273.2369895223831,0.5,5.0,5.5,1.0,0.0,0.0,0.36,1
0.0,103.52880865939372,315.42635044932797,0.5,4.7,5.3,0.2,1.2,0.6,0.36,1
0.2863,35.0,250.0,1.05,3.45,16.45,6.0,0.0,0.0,0.36,1
0.7717,80.0,360.0,1.15,4.5,17.0,5.6,0.1,0.1,0.36,1
0.5032,30.0,80.0,0.8,3.6,17.9,5.3,0.0,0.0,0.36,1
0.5603332383659675,20.0,300.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.36,1
0.6384,20.0,110.0,0.5,4.4,11.1,5.9,1.2,1.3,0.36,1
0.5377054776727899,30.0,15.0,0.5,4.4,6.85,7.0,0.0,0.0,0.36,1
0.7016,46.56189415534984,160.18757600231075,0.5,4.2,6.3,3.3,0.0,0.0,0.36,1
0.75665,27.79296045275982,59.82439629065618,0.5,5.15,5.25,5.2,0.0,0.0,0.36,1
0.3182,81.287880632537,182.75746574056134,0.6,4.8,3.2,1.5,1.4,0.8,0.36,1
0.0,118.88926386963243,311.7139794005423,0.6,4.7,5.5,0.9,2.0,1.3,0.36,1
0.38585,86.6903495446976,327.9029083183054,0.6,4.5,8.9,2.3,0.3,0.25,0.36,1
0.6992499999999999,165.1161175707473,532.4950460316999,1.6,5.6,11.5,2.4,1.7,2.1,0.36,1
0.7964,32.5,310.0,1.6,4.55,15.35,5.95,0.0,0.0,0.36,1
0.5664112982384646,45.0,485.0,1.35,4.0,20.4,7.5,0.4,0.3,0.36,1
0.5513864278828837,25.0,160.0,1.9,4.2,17.3,6.4,0.3,0.3,0.36,1
0.0,40.0,125.0,0.55,4.15,17.45,7.85,0.3,0.35,0.36,1
0.4215,45.0,90.0,0.5,4.5,13.6,11.7,0.0,0.0,0.36,1
0.4754,29.072143408199487,67.2392644380572,0.5,5.8,6.8,6.7,0.0,0.0,0.36,1
