name,Cluster,PC1,PC2
Gaasperplas,3,-1.3592327927234549,-1.9787562193657415
Gaasperplas,3,-3.319410166129944,-1.3980621446963837
Gaasperplas,3,-2.578405231352659,-1.563399733138711
Gaasperplas,3,-2.3579599227994885,-1.4178431615603928
Gaasperplas,3,-1.6270022398506454,-3.3627478119972682
Gaasperplas,3,-2.1728860355627524,-1.6952861847115162
Gaasperplas,0,2.1378124806348975,-3.181967373706796
Gaasperplas,3,-0.2469804697377171,-2.3752425767933185
Gaasperplas,3,-0.4212469263663874,-2.272752612764529
Gaasperplas,0,2.7656589299692538,-3.3612977312003856
Gaasperplas,0,0.7546616125825658,-2.611029257136364
Gaasperplas strand,3,-3.189218895673742,-1.9609992588816136
Gaasperplas strand,3,-1.3677324321361362,-1.9520137819949557
Gaasperplas strand,3,-1.4685986164875782,-1.9335149330200623
Gaasperplas strand,3,-3.094315572944964,-1.4384597091728097
Gaasperplas strand,3,-3.585038979117319,-1.2889566152605554
Gaasperplas strand,3,-2.558895484572568,-1.5897774986213902
Gaasperplas strand,3,-2.429890240070535,-2.4081397425661506
Gaasperplas strand,3,-2.958342281296012,-1.4741017149277171
Gaasperplas strand,0,-0.34454837026548396,-2.695622121577898
Gaasperplas strand,3,-2.022969499338287,-1.773005698016328
Gaasperplas strand,4,3.8638719640182937,-3.911658380690236
Gaasperplas strand,3,-1.4982648366318814,-1.9238862090299476
Gaasperplas strand,0,2.401528208804319,-3.145991590608805
Gaasperplas strand,3,-3.896912590141529,-1.1592387734758436
Gaasperplas strand,3,-1.3216593753369188,-2.044166024558154
Gaasperplas strand,3,-1.8778683549287305,-3.3142501203799584
Gaasperplas strand,4,2.180519543071673,-3.3975952796951443
Playground Gaasperplaspark,0,-0.23348639737578356,-3.134725628813107
Playground Gaasperplaspark,4,2.474151555898419,-4.139621851203743
Playground Gaasperplaspark,0,0.19534852433669184,-3.4604541043535706
Playground Gaasperplaspark,0,0.8484953606777286,-3.404592100290709
Playground Gaasperplaspark,3,-0.6114167637110675,-3.064209957125287
Playground Gaasperplaspark,3,-2.013580342298772,-2.557203640554706
Playground Gaasperplaspark,0,0.5913417890077414,-3.5032153741729983
Waterspeelplaats Gaasperpark,3,-2.713647433339039,-2.349494494706715
Waterspeelplaats Gaasperpark,3,-3.1270596530501797,-2.283437456893802
Waterspeelplaats Gaasperpark,3,-1.8408619413013556,-2.650766018409986
Waterspeelplaats Gaasperpark,1,-4.2969343823283195,-3.1626441002454855
Waterspeelplaats Gaasperpark,8,-0.7757264622423734,-0.6859560859833721
Waterspeelplaats Gaasperpark,3,-4.0381845837082,-1.940490615594188
Park de Oeverlanden,0,2.2879550057067592,-0.7393500626487676
Park de Oeverlanden,3,0.012814640350756929,-0.004141799371995913
Park de Oeverlanden,3,-1.2003205154448418,0.4444660915211264
Park de Oeverlanden,4,-0.0998024323397618,-0.27451860517880416
Park de Oeverlanden,3,-2.5252075473303885,0.8336026561213642
Park de Oeverlanden,3,-1.5705064262495332,0.5501008268282324
Park de Oeverlanden,3,0.2624603553255472,-0.17858521213884057
Park de Oeverlanden,3,-0.25175066924829503,0.0024463026825462812
Park de Oeverlanden,3,-1.5305451778441024,0.5373971004984747
Park de Oeverlanden,3,-1.5941542052598752,0.5406792262157484
Park de Oeverlanden,3,-0.8548300367120254,0.25441942274355034
Park de Oeverlanden,3,-1.3691557838562214,-0.433868476245804
Park de Oeverlanden,3,-2.9923310743969047,0.956857045310274
Park de Oeverlanden,3,-2.637136778052531,-0.6606770163380798
Park de Oeverlanden,7,0.18419471225632547,-0.23577027820521146
Park de Oeverlanden,7,0.9028139131418236,-0.43452552769552377
Park de Oeverlanden,3,-1.3863081523143488,0.4041751624152515
Park de Oeverlanden,3,-0.9406660257570838,0.02206905326497036
Park de Oeverlanden,3,-1.1033615130070795,0.2799324899870066
Park de Oeverlanden,3,-2.3782104650746083,0.7946424057589224
Park de Oeverlanden,3,-0.8160992180328503,0.2740686948047373
Park de Oeverlanden,3,-0.6125319994043823,0.21193914207798847
Park de Oeverlanden,3,-0.5969283993304402,0.18385340645424308
Park de Oeverlanden,0,0.4762643416831218,-0.05715454233919033
Park de Oeverlanden,0,0.521846745659213,-0.10923717557137495
Park de Oeverlanden,0,1.686219698334359,-0.5869805691813506
Park de Oeverlanden,0,0.6411770561640813,-0.1440902614726593
Park de Oeverlanden,0,0.5498126420524513,-0.08591247921975287
Park de Oeverlanden,8,6.730215541800361,-2.0761958581313036
Park de Oeverlanden,0,2.37610323392646,-0.6717174162059223
Park de Oeverlanden,0,2.0236156350919092,-0.4825607421070435
